Vorname;Name;Strasse;PLZ;Ort;E-Mail-Adresse
Sozialdienst des Bezirks;Affoltern, Suchtberatung Zweck;Obfelderstrasse 41b;8910;Affoltern am Albis;info@sdaffoltern.ch 
Suchtberatung;ags, Aarau;Metzgergasse 2;5000;Aarau;aarau@suchtberatung-ags.ch 
Lungenliga Aargau;Rauchstopp;Hintere Bahnhofstrasse 8;5001;Aarau;rauchstopp@llag.ch 
Lungenliga Zentralschweiz,;Beratungsstelle Altdorf Rauch;Spitalstrasse 1a;6460;Altdorf;info@lungenliga-zentralschweiz.ch 
Zentrum;Selbsthilfe Uri;Gotthardstrasse 14;6460;Altdorf UR;info@selbsthilfe-uri.ch 
Information Beratung;Therapie BZBplus;Mellingerstrasse 30;5400;Baden;info@bzbplus.ch 
Beratungsstelle für;Suchtfragen Blaues Kreuz St. G;Marktgasse 10c;9050;Appenzell;suchtberatung@gsd.ai.ch 
Zentrum Breitenstein,;Suchtberatung Bezirk Andelfingg;Landstrasse 36;8450;Andelfingen;suchtberatung.andelfingen@ajb.zh.ch 
Suchtberatung Soziale;Dienste Au;Kirchweg 4;9434;Au;thomas.pfeifer@au.ch 
Lungenliga Zentralschweiz,;Beratungsstelle Baar Rauchsto;Landhausstrasse 19;6340;Baar;info@lungenliga-zentralschweiz.ch 
Suchthilfe Ost GmbH;Beratung;Herrengasse 10;4710;Balsthal;info@suchthilfe-ost.ch 
Rauchstopp-Beratung;Lungenliga Thurgau, Beratungss;Bahnhofstr. 44;8580;Amriswil;info@lungenliga-tg.ch 
Lungenliga Ost,;Beratungsstelle Balgach Rauchs;Hauptstrasse 40a;9436;Balgach;rauchstopp@lungenliga-ost.ch 
Suchtberatung Oberes;Rheintal Verein Suchtberatung;Wiesentalstrasse 1a;9450;Altstätten;info@suchtberatung-or.ch 
Fachstelle für Alkohol-;und Suchtprobleme Bern Blaues;Effingerstrasse 33;3008;Bern;fs.bern@blaueskreuzbern.ch 
