Vorname;Nachname;Strasse;PLZ;Stadt;Land;E-Mail-Adresse
Adaption am Botanischen;Garten Bonn;Reuterstraße 21;53115;Bonn;Deutschland;adaption-bonn@deutscher-orden.de
Adaption der Soteria;Klinik am Helios Park-Klinikum;Ludwig Erhard Straße 21;04103;Leipzig;Deutschland;adaption.parkklinikum@helios-gesundheit.de
Adaption;Leipzig IGB e.V.;Rathenaustraße 11;04179;Leipzig;Deutschland;info@adaption-leipzig.de
Adaptionseinrichtung;Haus am Schneeberg;Frohsinnstraße 10;63739;Aschaffenburg;Deutschland;hausamschneeberg@hephata.de
Adaptionseinrichtung;Erfurt/Weimar;Arndtstraße 2;99096;Erfurt;Deutschland;adaption@sit-online.org
AGJ Suchtberatung;Konstanz;Luisenstr. 7;78464;Konstanz;Deutschland;suchtberatung-konstanz@agj-freiburg.de
AH; Suchtberatungstelle;Rathenower Str. 2-3;14770;Brandenburg;Deutschland;info@ah-brandenburg.de
akzeptierende;Beratungsstelle experience;Gubener Straße 29;16227;Eberswalde;Deutschland;beratungsstelle-experience@web.de
Alexianer;Krefeld GmbH;Dießemer Bruch 81;47805;Krefeld;Deutschland;s.kossi@alexianer.de
Alkohol- und;Medikamentenberatungsstelle Te;Tempelhofer Damm 129;12099;Berlin;Deutschland;amb@notdienstberlin.de
Ambulante Suchthilfe der;RheinMainBildung gGmbH;Uhlandstr. 36;60314;Frankfurt am Main;Deutschland;ash@rm-b.de
Ambulantes;Centrum;Leverkusenstr. 33A;22761;Hamburg;Deutschland;ambulantes.centrum@jhj.de
ANKER Ambulant betreutes;Wohnen;Telemannstraße 11;06124;Halle/Saale;Deutschland;anker@awo-halle-merseburg.de
ATS Suchthilfezentrum Bad;Segeberg;Gartenstraße 17;23795;Bad Segeberg;Deutschland;ats.segeberg@landesverein.de
ATS Suchthilfezentrum;Burg auf Fehmarn;Klaus-Groth-Straße 1;23769;Fehmarn OT Burg;Deutschland;sucht.burg@ats-sh.de
AWO ambulante Beratungs -;und Behandlungsstelle;Gohlitzstr. 23;14797;Kloster Lehnin;Deutschland;suchtberatung-belzig@awo-potsdam.de
AWO Ambulante Beratungs-;und Behandlungsstelle für Such;Großbeerenstraße 187;14482;Potsdam;Deutschland;suchtberatungsstelle@awo-potsdam.de
AWO ambulante;Suchtberatungs - und Behandlun;Eisenbahnstr. 1;14542;Werder (Havel);Deutschland;suchtberatung-teltow@awo-potsdam.de
AWO Drogen- und;Suchtberatung;Otto-Grotewohl-Ring 1;15344;Strausberg;Deutschland;info-dsb@awo-bb-ost.de
AWO;Suchtberatung Halle;Trakehnerstraße 20;06124;Halle (Saale);Deutschland;suchtberatung@awo-halle-merseburg.de
AWO-Suchtberatung;Fürstenwalde;Eisenbahnstr. 140;15517;Fürstenwalde;Deutschland;suchtberatung.fw@awo-fuerstenwalde.de
Beratungs- und;Behandlungsstelle für Abhängig;Stettiner Straße 121;17291;Prenzlau;Deutschland;suchtberatung.prenzlau@krankenhaus-angermuende.de
Beratungs- und;Behandlungszentrum für Suchter;Büchsenstraße 34-36;70174;Stuttgart;Deutschland;behandlungszentrumsucht@eva-stuttgart.de
Beratungs- und;Behandlungszentrum Sylt - Such;Keitumer Landstrasse 36;25980;Sylt / Tinnum;Deutschland;j.ringele@dw-suedtondern.de
Beratungs- und;BildungsCentrum;Alter Steinweg 34;48143;Münster;Deutschland;BBC@diakonie-muenster.de
