Name der Einrichtung;Strasse mit Hausnummer;Postleitzahl;Stadt;E-Mail-Adresse;Detail-Link
Adaption am Botanischen Garten Bonn;Reuterstraße 21;53115;Bonn;adaption-bonn@deutscher-orden.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4373&cHash=4aa2a38af18211553111ce992720f990
adaption-bonn(at)deutscher-orden.de;Reuterstraße 21;53115;Bonn;adaption-bonn@deutscher-orden.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Adaption der Soteria Klinik am Helios Park-Klinikum Leipzig;Ludwig Erhard Straße 21;04103;Leipzig;adaption.parkklinikum@helios-gesundheit.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4534&cHash=21f63fef0a41557d529325e92ebe6e40
adaption.parkklinikum(at)helios-gesundheit.de;Ludwig Erhard Straße 21;04103;Leipzig;adaption.parkklinikum@helios-gesundheit.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Adaption Leipzig IGB e.V.;Rathenaustraße 11;04179;Leipzig;info@adaption-leipzig.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5418&cHash=b348fd2a819f861bac184cbc2ac35263
info(at)adaption-leipzig.de;Rathenaustraße 11;04179;Leipzig;info@adaption-leipzig.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Adaption Quellenhof;Koblenz-Olper-Straße 39;56170;Bendorf;info-quellenhof@ludwigsmuehle.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5056&cHash=e062e70ee81c94f947e713f584e2e42b
info-quellenhof(at)ludwigsmuehle.de;Koblenz-Olper-Straße 39;56170;Bendorf;info-quellenhof@ludwigsmuehle.de;https://www.dhs.de/service/suchthilfeverzeichnis/
"Adaptionseinrichtung ""Haus am Schneeberg""";Frohsinnstraße 10;63739;Aschaffenburg;hausamschneeberg@hephata.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5872&cHash=e14e2231ba8417048f1553cd33c7bac7
hausamschneeberg(at)hephata.de;Frohsinnstraße 10;63739;Aschaffenburg;hausamschneeberg@hephata.de;https://www.dhs.de/service/suchthilfeverzeichnis/
"Adaptionseinrichtung ""Maria Stern""";Kurhausstrasse 32;97616;Bad Neustadt/Saale;stk@saaletalklinik.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5310&cHash=bc408d0ec1dfdb60f0d44f36174f3941
