"block","condition","mean","sd","lower","upper"
1,"M",60,24.1367896660806,54.066436514935,65.933563485065
2,"L",57.8636363636364,21.5976397311846,52.5542738408881,63.1729988863846
3,"M",57.8787878787879,19.446585740682,53.0982204273405,62.6593553302353
4,"L",60.1363636363636,21.3165781376023,54.8960946770845,65.3766325956428
5,"M",60.5151515151515,21.2496098963233,55.2913454043542,65.7389576259488
6,"L",57.8939393939394,22.4705816486143,52.3699809635538,63.417897824325
7,"M",61.3333333333333,19.8744778999317,56.4475768601977,66.219089806469
8,"L",60.5,21.8422667180999,55.1305006580184,65.8694993419816
9,"M",60.8939393939394,21.5300353980764,55.6011960905617,66.1866826973171
10,"L",61.8939393939394,19.8975288669637,57.0025162858383,66.7853625020405
11,"M",60.2121212121212,21.7662513302061,54.8613087848515,65.5629336393909
12,"L",58.530303030303,21.7511942709924,53.1831920901813,63.8774139704247
13,"M",61.5757575757576,21.7793555079191,56.2217237395327,66.9297914119825
14,"L",60.469696969697,21.0334676148932,55.2990252635332,65.6403686758607
15,"M",63.3030303030303,23.8353129730269,57.4435790392776,69.162481566783
16,"L",62.469696969697,23.1956359933831,56.7674979346441,68.1718960047498
17,"M",63.8636363636364,24.3385647536114,57.8804703710245,69.8468023562482
18,"L",62.2121212121212,23.9849408854262,56.3158868164922,68.1083556077503
19,"M",64.6212121212121,26.6970267151838,58.0582638141458,71.1841604282785
20,"L",66.1060606060606,26.8483655356286,59.5059085734248,72.7062126386964
