browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,152.0.0.0,384,832,Android,de-CH,2026-09-14_15:30:26,2026-09-14_17:30:26,2026-09-14_15:28:43,https://www.testable.org/experiment/21489/996939/start,1879.53

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,Q1,"",15256,"35",6601,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,Q2,"",18972,"15",3692,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",65836,"40",3765,"40"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",80049,p,3180,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",101425,"39",3112,"39"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",114683,k,2232,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",154897,"71",2207,"71"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",167721,l,1800,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",188277,"68",2909,"68"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",201403,j,2101,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",242245,"66",2330,"66"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",286121,"71",1883,"71"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",303218,l,6559,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",341278,"68",2481,"68"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",354507,l,2696,""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",390543,"66",1985,"66"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",405352,h,4276,""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",459711,"40",2742,"40"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",473209,o,2943,""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",504588,"71",1860,"71"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",517528,k,1909,""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",554096,"72",2242,"72"
"133","",test,"",box,"",What did you do during the break? (optional),word,"","","","",567190,j,2068,""
"140","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",595422,"41",2410,"41"
"142","",test,"",box,"",What did you do during the break? (optional),word,"","","","",608178,h,2212,""
"154","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",643269,"36",2102,"36"
"156","",test,"",box,"",What did you do during the break? (optional),word,"","","","",655433,k,1613,""
"163","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",678444,"34",2051,"34"
"165","",test,"",box,"",What did you do during the break? (optional),word,"","","","",708365,"1",19382,""
"177","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1510992,"73",2991,"73"
"179","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1523713,l,1882,""
"186","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1542754,"35",2345,"35"
"188","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1556340,k,2788,""
"200","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1593457,"67",1916,"67"
"202","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1765901,k,161689,""
"209","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1782997,"33",2136,"33"
"211","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1796281,k,2522,""
"223","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1835924,"40",2083,"40"
"225","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1853860,f,7144,""
"232","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1879530,"38",1823,"38"
