logical_asset,repository_path,repository_url,included_in_poc,note
cue_000.png,cuelens/app/src/main/res/drawable/cue_000.png,https://github.com/stefan-bmio/master-thesis/blob/main/cuelens/app/src/main/res/drawable/cue_000.png,placeholder,Replace placeholder/composite input with the exact Android reference asset before any study use.
match_a_000.png,cuelens/app/src/main/res/drawable/match_a_000.png,https://github.com/stefan-bmio/master-thesis/blob/main/cuelens/app/src/main/res/drawable/match_a_000.png,no,Replace placeholder/composite input with the exact Android reference asset before any study use.
match_b_000.png,cuelens/app/src/main/res/drawable/match_b_000.png,https://github.com/stefan-bmio/master-thesis/blob/main/cuelens/app/src/main/res/drawable/match_b_000.png,no,Replace placeholder/composite input with the exact Android reference asset before any study use.
matching_scene_000.png,(derived test composite),,placeholder,PoC-only composite to test the 4-second non-response phase without relying on undocumented response-delay parameters.
cue_001.png,cuelens/app/src/main/res/drawable/cue_001.png,https://github.com/stefan-bmio/master-thesis/blob/main/cuelens/app/src/main/res/drawable/cue_001.png,placeholder,Replace placeholder/composite input with the exact Android reference asset before any study use.
match_a_001.png,cuelens/app/src/main/res/drawable/match_a_001.png,https://github.com/stefan-bmio/master-thesis/blob/main/cuelens/app/src/main/res/drawable/match_a_001.png,no,Replace placeholder/composite input with the exact Android reference asset before any study use.
match_b_001.png,cuelens/app/src/main/res/drawable/match_b_001.png,https://github.com/stefan-bmio/master-thesis/blob/main/cuelens/app/src/main/res/drawable/match_b_001.png,no,Replace placeholder/composite input with the exact Android reference asset before any study use.
matching_scene_001.png,(derived test composite),,placeholder,PoC-only composite to test the 4-second non-response phase without relying on undocumented response-delay parameters.
cue_002.png,cuelens/app/src/main/res/drawable/cue_002.png,https://github.com/stefan-bmio/master-thesis/blob/main/cuelens/app/src/main/res/drawable/cue_002.png,placeholder,Replace placeholder/composite input with the exact Android reference asset before any study use.
match_a_002.png,cuelens/app/src/main/res/drawable/match_a_002.png,https://github.com/stefan-bmio/master-thesis/blob/main/cuelens/app/src/main/res/drawable/match_a_002.png,no,Replace placeholder/composite input with the exact Android reference asset before any study use.
match_b_002.png,cuelens/app/src/main/res/drawable/match_b_002.png,https://github.com/stefan-bmio/master-thesis/blob/main/cuelens/app/src/main/res/drawable/match_b_002.png,no,Replace placeholder/composite input with the exact Android reference asset before any study use.
matching_scene_002.png,(derived test composite),,placeholder,PoC-only composite to test the 4-second non-response phase without relying on undocumented response-delay parameters.
cue_003.png,cuelens/app/src/main/res/drawable/cue_003.png,https://github.com/stefan-bmio/master-thesis/blob/main/cuelens/app/src/main/res/drawable/cue_003.png,placeholder,Replace placeholder/composite input with the exact Android reference asset before any study use.
match_a_003.png,cuelens/app/src/main/res/drawable/match_a_003.png,https://github.com/stefan-bmio/master-thesis/blob/main/cuelens/app/src/main/res/drawable/match_a_003.png,no,Replace placeholder/composite input with the exact Android reference asset before any study use.
match_b_003.png,cuelens/app/src/main/res/drawable/match_b_003.png,https://github.com/stefan-bmio/master-thesis/blob/main/cuelens/app/src/main/res/drawable/match_b_003.png,no,Replace placeholder/composite input with the exact Android reference asset before any study use.
matching_scene_003.png,(derived test composite),,placeholder,PoC-only composite to test the 4-second non-response phase without relying on undocumented response-delay parameters.
cue_004.png,cuelens/app/src/main/res/drawable/cue_004.png,https://github.com/stefan-bmio/master-thesis/blob/main/cuelens/app/src/main/res/drawable/cue_004.png,placeholder,Replace placeholder/composite input with the exact Android reference asset before any study use.
match_a_004.png,cuelens/app/src/main/res/drawable/match_a_004.png,https://github.com/stefan-bmio/master-thesis/blob/main/cuelens/app/src/main/res/drawable/match_a_004.png,no,Replace placeholder/composite input with the exact Android reference asset before any study use.
match_b_004.png,cuelens/app/src/main/res/drawable/match_b_004.png,https://github.com/stefan-bmio/master-thesis/blob/main/cuelens/app/src/main/res/drawable/match_b_004.png,no,Replace placeholder/composite input with the exact Android reference asset before any study use.
matching_scene_004.png,(derived test composite),,placeholder,PoC-only composite to test the 4-second non-response phase without relying on undocumented response-delay parameters.
