label,type,head,responseType,pageBreak,stim1,stimFormat,stimPos,stimOptions,responseDisplay,button1,button2,responseOptions,if,then,timer,required
Q1,test,,box,before,"Preliminary question 1/2 <br> What is your age in years?",word,,,,,,"pattern:""[0-9]+""","response < 30",screenout,,
Q2,test,"Preliminary question 2/2",box,before,"Preliminary question 2/2 <br> How many cigarettes do you smoke per day?",word,,,,,,"pattern:""[0-9]+""","response < 10",screenout,,
,instructions,,,,"Welcome to the CueLens-Study. It will take approximately 2 hours to complete all trials. Feel free to come back later, if you don't have enough time now. The study can not be picked up again if it's closed after it was started.
<br><br>
The experiment is aimed at smokers and records self reports about craving. It is best to not smoke for the duration of the experiment.",word,,,,Start,,,,,,
,instructions,,,,"Block 1/20: Select the small image that best matches the displayed cue.",word,,,,OK,,,,,,
,learn,,,,cue_match_000,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_000,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_001,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_001,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_002,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_002,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_003,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_003,.png,,,horizontal,"Left match","Right match",,,,,
,learn,,,,cue_match_004,.png,,,horizontal,,,,,,"5s, bottom, l, skip",
,practice,,,,cue_match_004,.png,,,horizontal,"Left match","Right match",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
,learn,Break,,,"Do something else now. Block 2/20 will commence after a 5 minute break. Tip: set an alarm clock so you don't forget to come back to the experiment.",word,,,,,,,,,"5m,skip,bottom,xl",
,test,,box,,"What did you do during the break? (optional)",word,,,,,,,,,,
,instructions,,,,"Block 2/20: Select the description that best matches the displayed cue.",word,,,,OK,,,,,,
,practice,,,,cue_000,.png,,,horizontal,"evening light","smoke haze",,,,,
,practice,,,,cue_001,.png,,,horizontal,"umbrella moment","smell of ash",,,,,
,practice,,,,cue_002,.png,,,horizontal,"coffee with it","phone in hand",,,,,
,practice,,,,cue_003,.png,,,horizontal,smoldering,"around the table",,,,,
,practice,,,,cue_004,.png,,,horizontal,"night air","stubbing it out",,,,,
,form,"How strong is your craving to smoke at this moment?",slider,before,,,,,,,,0_100_1;50,,,,1
